Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW211576,03/29/2013 05:00:00 PM,032XX S DEARBORN ST,THEFT,$500 AND UNDER,"SCHOOL, PRIVATE, BUILDING",true,false,0211,002,3,35,06,1176498,1883362,2013,02/10/2018 03:50:01 PM,41.835297353,-87.627870552,POINT (-87.627870552 41.835297353)
HW210089,03/28/2013 03:44:00 PM,035XX S MICHIGAN AVE,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,POLICE FACILITY/VEH PARKING LOT,true,false,0213,002,3,35,26,1177772,1881665,2013,02/10/2018 03:50:01 PM,41.830611847,-87.623247369,POINT (-87.623247369 41.830611847)
HW211051,03/28/2013 02:00:00 PM,033XX S FEDERAL ST,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,"SCHOOL, PUBLIC, BUILDING",false,false,0211,002,3,35,10,1176173,1883043,2013,02/10/2018 03:50:01 PM,41.83442931,-87.629072664,POINT (-87.629072664 41.83442931)
HW208631,03/27/2013 02:17:00 PM,031XX S MICHIGAN AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0211,002,3,35,14,1177701,1884240,2013,02/10/2018 03:50:01 PM,41.837679455,-87.623429789,POINT (-87.623429789 41.837679455)
HW207341,03/26/2013 01:40:00 PM,001XX W 35TH ST,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0211,002,3,35,06,1175997,1881780,2013,02/10/2018 03:50:01 PM,41.830967493,-87.629756405,POINT (-87.629756405 41.830967493)
HW205972,03/25/2013 11:45:00 AM,029XX S FEDERAL ST,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0133,001,3,35,14,1176153,1885307,2013,02/10/2018 03:50:01 PM,41.840642353,-87.629077937,POINT (-87.629077937 41.840642353)
HW205694,03/25/2013 05:57:00 AM,001XX W 35TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,0915,009,11,34,08B,1175751,1881773,2013,02/10/2018 03:50:01 PM,41.830953809,-87.630659197,POINT (-87.630659197 41.830953809)
HW205317,03/24/2013 06:06:00 PM,001XX W 35TH ST,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,true,false,0915,009,11,34,26,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW204943,03/24/2013 11:45:00 AM,029XX S DEARBORN ST,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,CHA APARTMENT,false,true,0133,001,3,35,04B,1176459,1885004,2013,02/10/2018 03:50:01 PM,41.839804007,-87.627964177,POINT (-87.627964177 41.839804007)
HW204379,03/23/2013 08:45:00 PM,001XX W 35TH ST,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,false,false,0915,009,11,34,14,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
